Change	Time (sec)	Delay(uSec)	Angle(deg)	Error(arcsec)	
	345.489920	5490	13.18285631567320920470	6.94884691108020719147	0.00033356389016953336
	346.895360	5490	13.18872800091061814505	6.95192569895899507024	-0.00094130187773546620
	348.300800	5490	13.19459971875613890982	6.95500448683778294901	-0.00209877844307149930
	349.706240	5490	13.20047146922865545938	6.95808327471657082778	-0.00313879782358439753
	351.111680	5489	13.20634325234704748581	6.96116206259535870654	-0.00021077443481492157
	352.516864	5489	13.21221506813019050744	6.96424085047414658575	0.00283484205753635607
	353.922048	5490	13.21808691659695578213	6.96731963835293446451	0.00214760197243604240
	355.327488	5490	13.22395879776621039139	6.97039842623172234328	0.00157809084893754204
	356.732928	5490	13.22983071165681719875	6.97347721411051022205	0.00112637659335493196
	358.138368	5490	13.23570265828763490440	6.97655600198929810082	0.00079252709700491780
	359.543808	5490	13.24157463767751803305	6.97963478986808597958	0.00057661023617887971
	360.949248	5490	13.24744664984531692005	6.98271357774687385835	0.00047869387207857798
	362.354688	5490	13.25331869480987781636	6.98579236562566173712	0.00049884585121310114
	363.760128	5490	13.25919077259004277489	6.98887115350444961632	0.00063713400497396378
	365.165568	5490	13.26506288320464974594	6.99194994138323749509	0.00089362614997894184
	366.571008	5490	13.27093502667253256851	6.99502872926202537386	0.00126839008804970940
	367.976448	5490	13.27680720301252100760	6.99810751714081325263	0.00176149360633763204
	369.381888	5490	13.28267941224344066489	7.00118630501960113139	0.00237300447701347645
	370.787328	5490	13.28855165438411314871	7.00426509289838901016	0.00310299045786562802
	372.192768	5491	13.29442392945335591359	7.00734388077717688936	0.00010100167416118645
	373.598464	5491	13.30029623746998242682	7.01042266865596476813	-0.00278237652804989404
	375.004160	5490	13.30616857845280206867	7.01350145653475264690	-0.00169655881742710340
	376.409600	5490	13.31204095242062021044	7.01658024441354052567	-0.00049199511220829826
	377.815040	5490	13.31791335939223818591	7.01965903229232840443	0.00083138227240956307
	379.220480	5490	13.32378579938645330426	7.02273782017111628320	0.00227364100674650622
	380.625920	5490	13.32965827242205888656	7.02581660804990416197	0.00383484874675135716
	382.031360	5491	13.33553077851784428656	7.02889539592869204117	0.00166455551653373606
	383.437056	5491	13.34140331769259480311	7.03197418380747991994	-0.00038665343926267380
	384.842752	5491	13.34727588996509188308	7.03505297168626779871	-0.00231871050743365141
	386.248448	5490	13.35314849535411288375	7.03813175956505567748	-0.00028103047192136989
	387.653888	5490	13.35902113387843133385	7.04121054744384355624	0.00187593663441055219
	389.059328	5491	13.36489380555681676620	7.04428933532263143501	0.00030174076430772874
	390.465024	5491	13.37076651040803476449	7.04736812320141931421	-0.00115303290855601051
	391.870720	5491	13.37663924845084706308	7.05044691108020719298	-0.00248831684193791186
	393.276416	5491	13.38251201970401144288	7.05352569895899507175	-0.00370404350782944620
	394.682112	5490	13.38838482418628182766	7.05660448683778295052	-0.00094962777453265118
	396.087552	5490	13.39425766191640824066	7.05968327471657082928	0.00192448024046063083
	397.492992	5491	13.40013053291313681065	7.06276206259535870805	0.00106783040565355642
	398.898688	5491	13.40600343719520986911	7.06584085047414658682	0.00033100781100862578
	400.304384	5491	13.41187637478136583657	7.06891963835293446559	-0.00028592008516916508
	401.710080	5491	13.41774934569033931805	7.07199842623172234479	-0.00078288583828909859
	403.115776	5491	13.42362234994086108916	7.07507721411051022356	-0.00115982201757257500
	404.521472	5491	13.42949538755165813948	7.07815600198929810232	-0.00141666120584904744
	405.927168	5491	13.43536845854145359361	7.08123478986808598109	-0.00155333599987190320
	407.332864	5491	13.44124156292896680748	7.08431357774687385986	-0.00156977900996065135
	408.738560	5491	13.44711470073291335360	7.08739236562566173863	-0.00146592286005124006
	410.144256	5491	13.45298787197200504097	7.09047115350444961783	-0.00124170018763455764
	411.549952	5491	13.45886107666494989777	7.09354994138323749660	-0.00089704364380674990
	412.955648	5491	13.46473431483045218784	7.09662872926202537537	-0.00043188589321890274
	414.361344	5491	13.47060758648721245576	7.09970751714081325413	0.00015384038608788693
